internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,house,allocated_amount,total_expenditure,unspent_amount,utilization_pct,utilization_percentile,utilization_robust_zscore,recommended_works_count,completed_works_count,pending_works_count,completion_rate_pct,completion_rate_percentile,completion_rate_robust_zscore,transaction_count,successful_payments_count,pending_payments_count,successful_payment_rate_pct,pending_payment_rate_pct,pending_payment_rate_robust_zscore,average_transaction_amount,distinct_vendor_count,vendor_hhi,vendor_hhi_percentile,vendor_hhi_robust_zscore,top_vendor_share_pct,feature_generated_at
INTERNAL_MP_001,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Lok Sabha,147000000.0,15498347.0,131501653.0,10.54,0.15469613259668508,-0.9707966157929663,27,0,27,0.0,0.03959484346224678,-1.1268516656191072,9,9,0,100.0,0.0,-0.6745,1722038.5555555555,8,1526.2,0.6187845303867403,0.41823766136703344,23.58,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_002,GM HARISH BALAYOGI,AMALAPURAM,ANDHRA PRADESH,Lok Sabha,147000000.0,53533502.0,93466498.0,36.42,0.576427255985267,0.18753516921035193,68,41,27,37.61,0.6611418047882136,0.46761376492771833,66,62,4,93.93939393939394,6.0606060606060606,1.6692171717171718,811113.6666666666,27,828.13,0.40331491712707185,-0.22158869411604845,21.64,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_003,C.M.RAMESH,ANAKAPALLE,ANDHRA PRADESH,Lok Sabha,202531656.11,36002667.0,166528989.11,17.78,0.26519337016574585,-0.6467501658925016,75,20,55,21.05,0.4171270718232044,-0.23444280326838451,42,38,4,90.47619047619048,9.523809523809524,3.008484126984127,857206.3571428572,11,1741.93,0.6574585635359116,0.6159681750237803,28.61,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_004,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,ANDHRA PRADESH,Lok Sabha,201899064.11,62202871.0,139696193.11,30.81,0.4861878453038674,-0.06355607166556064,116,42,74,26.58,0.5009208103130756,0.0,81,79,2,97.53086419753086,2.4691358024691357,0.2803477366255144,767936.6790123457,24,1754.4,0.6611418047882136,0.6273977374643294,37.05,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_005,GUMMA THANUJA RANI,ARAKU,ANDHRA PRADESH,Lok Sabha,149458905.11,73149314.0,76309591.11000001,48.94,0.785451197053407,0.7479027869940281,104,28,76,21.21,0.425414364640884,-0.227659648020113,90,86,4,95.55555555555556,4.444444444444445,1.0442259259259261,812770.1555555556,30,938.14,0.4530386740331492,-0.12075740589754051,19.51,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_006,KRISHNA PRASAD TENNETI,BAPATLA,ANDHRA PRADESH,Lok Sabha,167796849.11,16927605.0,150869244.11,10.09,0.14548802946593,-0.9909376244193763,118,6,112,4.84,0.13996316758747698,-0.9216612193588936,23,21,2,91.30434782608695,8.695652173913043,2.6882246376811594,735982.8260869565,17,867.28,0.425414364640884,-0.1857051841282784,17.27,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_007,DAGGUMALLA PRASADA RAO,CHITTOOR,ANDHRA PRADESH,Lok Sabha,147000000.0,76341346.0,70658654.0,51.93,0.8232044198895028,0.8817285998672862,115,111,4,49.12,0.7937384898710865,0.9555769956002511,156,156,0,100.0,0.0,-0.6745,489367.60256410256,57,385.75,0.20626151012891344,-0.6270586085065906,9.08,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_008,PUTTA MAHESH KUMAR,ELURU,ANDHRA PRADESH,Lok Sabha,147000000.0,42407225.0,104592775.0,28.85,0.4567219152854512,-0.15128135368281337,60,54,6,47.37,0.7697974217311234,0.8813862350722814,68,68,0,100.0,0.0,-0.6745,623635.6617647059,13,2522.05,0.7605893186003683,1.330998668297323,44.33,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_009,DR CHANDRA SEKHAR PEMMASANI,GUNTUR,ANDHRA PRADESH,Lok Sabha,159774113.11,35191726.0,124582387.11,22.03,0.3406998158379374,-0.4565295288652952,87,9,78,9.38,0.20257826887661143,-0.7291891891891888,42,41,1,97.61904761904762,2.380952380952381,0.24624603174603174,837898.2380952381,30,736.52,0.3701657458563536,-0.30555519092267974,14.04,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_010,B K PARTHASARATHI,HINDUPUR,ANDHRA PRADESH,Lok Sabha,160491894.11,47797914.0,112693980.11,29.78,0.4696132596685083,-0.10965660252156587,40,52,-12,56.52,0.8637200736648251,1.2692979258328094,64,64,0,100.0,0.0,-0.6745,746842.40625,24,1000.17,0.4732965009208103,-0.06390289441500216,22.94,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_011,Y S AVINASH REDDY,KADAPA,ANDHRA PRADESH,Lok Sabha,156430260.11,40037027.0,116393233.11,25.59,0.4014732965009208,-0.29719177173191763,243,57,186,19.0,0.3830570902394107,-0.3213519798868635,86,85,1,98.83720930232558,1.1627906976744187,-0.2248333333333333,465546.82558139536,52,336.0,0.17679558011049723,-0.6726577048512026,8.23,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_012,TANGELLA UDAY SRINIVAS,KAKINADA,ANDHRA PRADESH,Lok Sabha,199417886.76,16907864.0,182510022.76,8.48,0.11602209944751381,-1.0629976775049768,16,6,10,27.27,0.5156537753222836,0.02925235700817101,10,10,0,100.0,0.0,-0.6745,1690786.4,9,2009.04,0.7108655616942909,0.8607917855686912,35.24,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_013,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,ANDHRA PRADESH,Lok Sabha,159998515.11,44033277.0,115965238.11,27.52,0.425414364640884,-0.21080922362309218,65,143,-78,68.75,0.9465930018416207,1.787785355122564,145,145,0,100.0,0.0,-0.6745,303677.7724137931,8,1770.45,0.6629834254143646,0.642108601712189,26.79,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_014,BALASHOWRY VALLABBHANENI,MACHILIPATNAM,ANDHRA PRADESH,Lok Sabha,147000000.0,14363941.0,132636059.0,9.77,0.13996316758747698,-1.0052601194426012,52,9,43,14.75,0.289134438305709,-0.5015295411690759,26,24,2,92.3076923076923,7.6923076923076925,2.3002179487179486,552459.2692307692,12,1207.79,0.5359116022099447,0.1263942791140099,17.27,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_015,DR BYREDDY SHABARI,NANDYAL,ANDHRA PRADESH,Lok Sabha,150675889.11,50709419.0,99966470.11,33.65,0.5211786372007366,0.0635560716655608,129,70,59,35.18,0.6335174953959485,0.3645945945945946,116,115,1,99.13793103448276,0.8620689655172413,-0.34112643678160925,437150.1637931034,33,596.58,0.30570902394106814,-0.43381926212800653,16.63,2026-08-26T10:44:17.312957+00:00
