work_id,internal_mp_id,delay_probability,predicted_cost_overrun_pct,cost_overrun_uncertainty,model_version
248308,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
249358,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248919,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
249373,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248296,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248471,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248301,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248302,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248303,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248304,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248306,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
248475,INTERNAL_MP_485,0.0951,-0.04,0.0,predictive-insights-v1
254245,INTERNAL_MP_106,0.7039,-1.38,3.78,predictive-insights-v1
254707,INTERNAL_MP_376,0.7457,-5.01,5.56,predictive-insights-v1
256840,INTERNAL_MP_112,0.5275,-0.29,0.53,predictive-insights-v1
258817,INTERNAL_MP_181,0.678,-4.62,4.71,predictive-insights-v1
259034,INTERNAL_MP_375,0.6848,-3.74,5.3,predictive-insights-v1
259644,INTERNAL_MP_021,0.6447,-0.59,1.95,predictive-insights-v1
246826,INTERNAL_MP_503,0.6133,-3.49,5.37,predictive-insights-v1
259885,INTERNAL_MP_376,0.7276,-2.23,3.61,predictive-insights-v1
251864,INTERNAL_MP_227,0.5958,-2.53,5.01,predictive-insights-v1
260685,INTERNAL_MP_133,0.5612,-6.03,4.74,predictive-insights-v1
262529,INTERNAL_MP_110,0.729,-2.23,5.05,predictive-insights-v1
259967,INTERNAL_MP_376,0.7457,-5.01,5.56,predictive-insights-v1
263206,INTERNAL_MP_131,0.6794,-0.98,2.42,predictive-insights-v1
268620,INTERNAL_MP_315,0.2722,-1.04,3.12,predictive-insights-v1
268621,INTERNAL_MP_315,0.2722,-1.04,3.12,predictive-insights-v1
268618,INTERNAL_MP_315,0.2722,-1.04,3.12,predictive-insights-v1
268619,INTERNAL_MP_315,0.2722,-1.04,3.12,predictive-insights-v1
269531,INTERNAL_MP_336,0.6301,-14.64,5.06,predictive-insights-v1
273453,INTERNAL_MP_076,0.5642,-5.13,4.55,predictive-insights-v1
273398,INTERNAL_MP_120,0.7347,-0.7,1.64,predictive-insights-v1
277445,INTERNAL_MP_438,0.2004,-2.88,4.66,predictive-insights-v1
277923,INTERNAL_MP_438,0.1944,-2.88,4.66,predictive-insights-v1
277926,INTERNAL_MP_438,0.3329,-3.91,4.75,predictive-insights-v1
278661,INTERNAL_MP_135,0.5673,-4.15,4.65,predictive-insights-v1
288943,INTERNAL_MP_395,0.7186,-1.45,2.13,predictive-insights-v1
