internal_vendor_id,vendor_name_normalized,total_received_amount,vendor_revenue_percentile,vendor_revenue_robust_zscore,total_transaction_count,average_ticket_size,unique_mps_served,unique_states_served,primary_state,primary_activity,primary_mp_id,primary_mp_name,single_mp_reliance_pct,feature_generated_at
INTERNAL_VND_00001,R K CONSTRUCTION,156739090.0,1.0,317.20744095555233,182,861203.7912087912,6,1,BIHAR,Lighting of public spaces,INTERNAL_MP_058,TARIQ ANWAR,33.86,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00002,RANJIT SALES CORPORATION,136010400.0,0.9999553112570944,275.14971734860245,249,546226.5060240964,5,1,BIHAR,Lighting of public spaces,INTERNAL_MP_060,DR MOHAMMAD JAWED,44.86,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00003,BIOLUNAR ENERGY SOLUTION,130529300.0,0.9999106225141887,264.0287739188896,258,505927.51937984495,5,1,BIHAR,Street lights,INTERNAL_MP_050,MR GOPAL JEE THAKUR,55.02,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00004,SHRI GURU KRIPA NARSINGH ASSOCIATES,125604534.0,0.999865933771283,254.03661101535332,82,1531762.6097560977,3,1,UTTAR PRADESH,Street lights,INTERNAL_MP_424,NEERAJ MAURYA,47.04,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00005,JAI CONSTRUCTION,122963972.0,0.9998212450283773,248.67901114951448,150,819759.8133333334,2,2,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_434,RAM PRASAD CHAUDHARY,97.56,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00006,KRIDL BHUSIRI ACCOUNT WORKS,119863039.0,0.9997765562854717,242.38733603460517,245,489236.893877551,16,1,KARNATAKA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_180,SHREYAS. M. PATEL,18.1,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00007,ALAM BROTHERS,113404000.0,0.999731867542566,229.28219156920431,121,937223.1404958678,1,1,BIHAR,Lighting of public spaces,INTERNAL_MP_078,VIJAYLAKSHMI DEVI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00008,SHIV DURGA INDUSTRIES,102772259.0,0.9996871787996604,207.7107934519727,73,1407839.1643835616,3,1,BIHAR,Lighting of public spaces,INTERNAL_MP_046,GIRIDHARI YADAV,51.74,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00009,SIGMA ENTERPRISES,94050000.0,0.9996424900567547,190.01366168676077,38,2475000.0,1,1,BIHAR,Setting up of laboratories,INTERNAL_MP_043,PRADEEP KUMAR SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00010,MS RAMESH CHANDRA PATEL,90325342.0,0.999597801313849,182.45647226985042,87,1038222.3218390804,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_471,PANKAJ CHOWDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00011,NIGHTINGALE NETWORKS LLP,88448056.0,0.9995531125709434,178.64753037727561,219,403872.401826484,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_445,MUKESH RAJPUT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00012,SRIJAN CONSTRUCTION,82624494.0,0.9995084238280377,166.83174457489562,121,682847.0578512397,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_462,KARAN BHUSHAN SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00013,MURPHY THUMRAH,81575653.0,0.9994637350851321,164.70368607792176,56,1456708.0892857143,1,1,MANIPUR,Construction of community centers and community halls,INTERNAL_MP_291,ANGOMCHA BIMOL AKOIJAM,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00014,S K ENTERPRISES,78679435.0,0.9994190463422264,158.82736991180258,60,1311323.9166666667,9,4,BIHAR,Installation of fixed garden gym equipment,INTERNAL_MP_075,MANOJ KUMAR,39.06,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00015,BIHARI JI MAHADEV ASSOCIATES,77782670.0,0.9993743575993207,157.00786783471105,170,457545.1176470588,4,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_491,SHRI ARUN KUMAR SAGAR,30.93,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00016,SAI ENTERPRISES,77043057.0,0.999329668856415,155.50722118843927,101,762802.5445544554,7,5,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_417,PROF SP SINGH BAGHEL,76.26,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00017,PRAHARSH INFRASTRUCTURE,76771727.0,0.9992849801135094,154.95670293830992,26,2952758.730769231,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_432,TANUJ PUNIA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00018,TATA MOTORS,74899355.0,0.9992402913706038,151.15773136483412,53,1413195.3773584906,20,6,KERALA,Purchase of vans and buses for educational institutions,INTERNAL_MP_191,K. C VENUGOPAL,11.25,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00019,BAKE BIHARI TRADERS,72370320.0,0.9991956026276981,146.02641554013402,296,244494.32432432432,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_443,JITENDRA KUMAR DOHARE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00020,AMIT KUMAR JUNIOR ENGINEER,71561875.0,0.9991509138847924,144.3861113838453,194,368875.6443298969,1,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_161,SANJAY SETH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00021,SHREE VISHNU TRADERS,70129779.0,0.9991062251418867,141.48044306874104,25,2805191.16,3,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_476,ASHOK KUMAR RAWAT,39.06,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00022,MS RAJ KAMAL CONSTRUCTIONS,69796613.0,0.9990615363989811,140.80446192650615,61,1144206.7704918033,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_448,AKSHAYA YADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00023,CHANDAN ENTERPRISES,69646000.0,0.9990168476560755,140.49887387797952,60,1160766.6666666667,3,1,BIHAR,Construction of bus-sheds or bus-stops,INTERNAL_MP_046,GIRIDHARI YADAV,42.14,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00024,SML ISUZU LTD,66787910.0,0.9989721589131698,134.69991797368516,36,1855219.7222222222,13,4,KERALA,Purchase of vans and buses for educational institutions,INTERNAL_MP_103,CAPTAIN VIRIATO FERNANDES,26.25,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00025,GYAN GANGA,65502244.0,0.9989274701702641,132.09135055920538,184,355990.45652173914,5,3,BIHAR,Purchase of books and periodicals for libraries/digitization of library books,INTERNAL_MP_055,ARUN BHARTI,59.19,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00026,AADI AND RUDRANSH CONSTRUCTION COMPANY,63720410.0,0.9988827814273584,128.4760771441721,46,1385226.3043478262,2,1,UTTAR PRADESH,Setting up public non-conventional energy plants,INTERNAL_MP_422,KISHORI LAL,89.94,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00027,VE COMMERCIAL VEHICLES LTD,62565606.0,0.9988380926844528,126.13302375043618,37,1690962.3243243243,11,1,KERALA,Purchase of vans and buses for educational institutions,INTERNAL_MP_195,SHRI HIBI EDEN,21.94,2026-08-26T10:44:17.312957+00:00
