internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,allocated_amount,total_expenditure,unspent_amount,utilization_pct,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_MP_001,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,147000000.0,15498347.0,131501653.0,10.54,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_002,GM HARISH BALAYOGI,AMALAPURAM,ANDHRA PRADESH,147000000.0,53533502.0,93466498.0,36.42,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_003,C.M.RAMESH,ANAKAPALLE,ANDHRA PRADESH,202531656.11,36002667.0,166528989.11,17.78,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_004,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,ANDHRA PRADESH,201899064.11,62202871.0,139696193.11,30.81,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_005,GUMMA THANUJA RANI,ARAKU,ANDHRA PRADESH,149458905.11,73149314.0,76309591.11000001,48.94,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_006,KRISHNA PRASAD TENNETI,BAPATLA,ANDHRA PRADESH,167796849.11,16927605.0,150869244.11,10.09,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_007,DAGGUMALLA PRASADA RAO,CHITTOOR,ANDHRA PRADESH,147000000.0,76341346.0,70658654.0,51.93,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_008,PUTTA MAHESH KUMAR,ELURU,ANDHRA PRADESH,147000000.0,42407225.0,104592775.0,28.85,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_009,DR CHANDRA SEKHAR PEMMASANI,GUNTUR,ANDHRA PRADESH,159774113.11,35191726.0,124582387.11,22.03,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_010,B K PARTHASARATHI,HINDUPUR,ANDHRA PRADESH,160491894.11,47797914.0,112693980.11,29.78,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_011,Y S AVINASH REDDY,KADAPA,ANDHRA PRADESH,156430260.11,40037027.0,116393233.11,25.59,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_012,TANGELLA UDAY SRINIVAS,KAKINADA,ANDHRA PRADESH,199417886.76,16907864.0,182510022.76,8.48,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_013,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,ANDHRA PRADESH,159998515.11,44033277.0,115965238.11,27.52,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_014,BALASHOWRY VALLABBHANENI,MACHILIPATNAM,ANDHRA PRADESH,147000000.0,14363941.0,132636059.0,9.77,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_015,DR BYREDDY SHABARI,NANDYAL,ANDHRA PRADESH,150675889.11,50709419.0,99966470.11,33.65,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_016,BHUPATHIRAJU SRINIVASA VARMA,NARASAPURAM,ANDHRA PRADESH,147000000.0,0.0,147000000.0,0.0,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_017,LAVU SRI KRISHNA DEVARAYALU,NARASARAOPET,ANDHRA PRADESH,174009663.11,2402685.0,171606978.11,1.38,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_018,PRABHAKAR REDDY VEMIREDDY,NELLORE,ANDHRA PRADESH,147000000.0,73610054.0,73389946.0,50.07,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
