anomaly_id,entity_type,entity_id,anomaly_type,anomaly_score,severity,reason,supporting_metrics,detection_method,threshold_value,observed_value,percentile,robust_zscore,baseline_reference,generated_at
ANOM_000042,WORK,303957,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹99,965,000.00 is in the 100.0th percentile for 'Normal/Others' (336.7 robust standard deviations above category median).","{""recommended_amount"": 99965000.0, ""category"": ""Normal/Others"", ""zscore"": 336.66}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹99,965,000.00 (Z=336.66)",1.0,336.6617,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000043,WORK,211190,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹25,217,575.00 is in the 100.0th percentile for 'Normal/Others' (83.9 robust standard deviations above category median).","{""recommended_amount"": 25217575.0, ""category"": ""Normal/Others"", ""zscore"": 83.92}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹25,217,575.00 (Z=83.92)",0.9999,83.9176,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000078,WORK,201278,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹20,000,000.00 is in the 100.0th percentile for 'Normal/Others' (66.3 robust standard deviations above category median).","{""recommended_amount"": 20000000.0, ""category"": ""Normal/Others"", ""zscore"": 66.28}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹20,000,000.00 (Z=66.28)",0.9998,66.2754,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000115,WORK,216827,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹45,000,000.00 is in the 100.0th percentile for 'Normal/Others' (150.8 robust standard deviations above category median).","{""recommended_amount"": 45000000.0, ""category"": ""Normal/Others"", ""zscore"": 150.81}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹45,000,000.00 (Z=150.81)",1.0,150.8081,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000116,WORK,270039,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹30,626,949.00 is in the 100.0th percentile for 'Normal/Others' (102.2 robust standard deviations above category median).","{""recommended_amount"": 30626949.0, ""category"": ""Normal/Others"", ""zscore"": 102.21}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹30,626,949.00 (Z=102.21)",0.9999,102.2084,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000122,WORK,262885,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹27,400,000.00 is in the 100.0th percentile for 'Normal/Others' (91.3 robust standard deviations above category median).","{""recommended_amount"": 27400000.0, ""category"": ""Normal/Others"", ""zscore"": 91.3}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹27,400,000.00 (Z=91.30)",0.9999,91.2971,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000189,WORK,184631,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹20,000,000.00 is in the 100.0th percentile for 'Normal/Others' (66.3 robust standard deviations above category median).","{""recommended_amount"": 20000000.0, ""category"": ""Normal/Others"", ""zscore"": 66.28}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹20,000,000.00 (Z=66.28)",0.9998,66.2754,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000226,WORK,293965,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹20,000,000.00 is in the 100.0th percentile for 'Normal/Others' (66.3 robust standard deviations above category median).","{""recommended_amount"": 20000000.0, ""category"": ""Normal/Others"", ""zscore"": 66.28}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹20,000,000.00 (Z=66.28)",0.9998,66.2754,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000252,WORK,278935,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹30,000,000.00 is in the 100.0th percentile for 'Normal/Others' (100.1 robust standard deviations above category median).","{""recommended_amount"": 30000000.0, ""category"": ""Normal/Others"", ""zscore"": 100.09}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹30,000,000.00 (Z=100.09)",0.9999,100.0885,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000264,WORK,296212,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹23,470,200.00 is in the 100.0th percentile for 'Normal/Others' (78.0 robust standard deviations above category median).","{""recommended_amount"": 23470200.0, ""category"": ""Normal/Others"", ""zscore"": 78.01}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹23,470,200.00 (Z=78.01)",0.9998,78.0092,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000285,WORK,196288,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹47,472,048.00 is in the 100.0th percentile for 'Normal/Others' (159.2 robust standard deviations above category median).","{""recommended_amount"": 47472048.0, ""category"": ""Normal/Others"", ""zscore"": 159.17}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹47,472,048.00 (Z=159.17)",1.0,159.1669,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000290,WORK,216762,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹24,641,199.00 is in the 100.0th percentile for 'Normal/Others' (82.0 robust standard deviations above category median).","{""recommended_amount"": 24641199.0, ""category"": ""Normal/Others"", ""zscore"": 81.97}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹24,641,199.00 (Z=81.97)",0.9999,81.9687,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
ANOM_000298,WORK,229416,UNUSUALLY_HIGH_RECOMMENDED_AMOUNT,1.0,CRITICAL,"Recommended amount of ₹22,131,000.00 is in the 100.0th percentile for 'Normal/Others' (73.5 robust standard deviations above category median).","{""recommended_amount"": 22131000.0, ""category"": ""Normal/Others"", ""zscore"": 73.48}",STATISTICAL_ROBUST_ZSCORE,"₹50,00,000 & Z >= 3.5","₹22,131,000.00 (Z=73.48)",0.9998,73.481,Category Median (Normal/Others),2026-08-26T10:47:43.666818+00:00
