recommended_work_id,completed_work_id,internal_mp_id,mp_name_normalized,similarity_score,recommended_description,completed_description,recommended_amount,completed_amount,audit_status,pipeline_created_at
1491,225800,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah , Ramkailash ke Makaan Ke saamne high Mast Light","Village Mohammadpur BLock Marhara jila Etah , Ramkailash ke Makaan Ke saamne high Mast Light",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1492,225801,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah , Mini Hospital ke  Saamne High Mast Light .","Village Mohammadpur BLock Marhara jila Etah , Mini Hospital ke  Saamne High Mast Light .",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1493,225802,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah ,Pratap singh ke Makaan ke saamne High Mast Light .","Village Mohammadpur BLock Marhara jila Etah ,Pratap singh ke Makaan ke saamne High Mast Light .",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1494,225803,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah , Baraat Ghar ke saamne High Mast Light .","Village Mohammadpur BLock Marhara jila Etah , Baraat Ghar ke saamne High Mast Light .",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1495,225804,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah, Shamsham ke saamne High Mast Light","Village Mohammadpur BLock Marhara jila Etah, Shamsham ke saamne High Mast Light",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1496,225805,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah , Kailsham kumar Ke Makkan ke Saamne","Village Mohammadpur BLock Marhara jila Etah , Kailsham kumar Ke Makkan ke Saamne",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1497,225806,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah ,Gulaab Singh Ke makaan ke saamne High Mast Light","Village Mohammadpur BLock Marhara jila Etah ,Gulaab Singh Ke makaan ke saamne High Mast Light",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1498,225807,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,"Village Mohammadpur BLock Marhara jila Etah , Holy Pani Tanki Ke saamne high Mast Light","Village Mohammadpur BLock Marhara jila Etah , Holy Pani Tanki Ke saamne high Mast Light",240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1499,225808,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,Village Mohammadpur BLock Marhara jila Etah Brajesh Kumar Ke ghar Ke saamne High Mast Light,Village Mohammadpur BLock Marhara jila Etah Brajesh Kumar Ke ghar Ke saamne High Mast Light,240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
1500,225809,INTERNAL_MP_256,AASHTIKAR PATIL NAGESH BAPURAO,1.0,Village Mohammadpur BLock Marhara jila Etah OmPrakash Ke Makaan Ke saamne High Mast Light,Village Mohammadpur BLock Marhara jila Etah OmPrakash Ke Makaan Ke saamne High Mast Light,240611.0,240611.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
