internal_mp_id,mp_name_raw,mp_name_normalized,constituency_raw,constituency_normalized,state_raw,state_normalized,house,allocated_amount,total_expenditure,unspent_amount,utilization_pct,recommended_works_count,completed_works_count,completion_rate_pct,transaction_count,successful_payments_count,pending_payments_count,average_rating,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_MP_001,BISHNU PADA RAY,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Lok Sabha,147000000.0,15498347.0,131501653.0,10.54,27,0,0.0,9,9,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_002,GM Harish Balayogi,GM HARISH BALAYOGI,AMALAPURAM,AMALAPURAM,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,53533502.0,93466498.0,36.42,68,41,37.61,66,62,4,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_003,C.M.RAMESH,C.M.RAMESH,ANAKAPALLE,ANAKAPALLE,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,202531656.11,36002667.0,166528989.11,17.78,75,20,21.05,42,38,4,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_004,AMBICA G LAKSHMINARAYANA VALMIKI,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,ANANTAPUR,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,201899064.11,62202871.0,139696193.11,30.81,116,42,26.58,81,79,2,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_005,Gumma Thanuja Rani,GUMMA THANUJA RANI,ARAKU,ARAKU,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,149458905.11,73149314.0,76309591.11000001,48.94,104,28,21.21,90,86,4,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_006,Krishna Prasad Tenneti,KRISHNA PRASAD TENNETI,BAPATLA,BAPATLA,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,167796849.11,16927605.0,150869244.11,10.09,118,6,4.84,23,21,2,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_007,DAGGUMALLA PRASADA RAO,DAGGUMALLA PRASADA RAO,CHITTOOR,CHITTOOR,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,76341346.0,70658654.0,51.93,115,111,49.12,156,156,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_008,Putta Mahesh Kumar,PUTTA MAHESH KUMAR,ELURU,ELURU,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,42407225.0,104592775.0,28.85,60,54,47.37,68,68,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_009,Dr Chandra Sekhar Pemmasani,DR CHANDRA SEKHAR PEMMASANI,GUNTUR,GUNTUR,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,159774113.11,35191726.0,124582387.11,22.03,87,9,9.38,42,41,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_010,B K PARTHASARATHI,B K PARTHASARATHI,HINDUPUR,HINDUPUR,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,160491894.11,47797914.0,112693980.11,29.78,40,52,56.52,64,64,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_011,Y S Avinash Reddy,Y S AVINASH REDDY,KADAPA,KADAPA,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,156430260.11,40037027.0,116393233.11,25.59,243,57,19.0,86,85,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_012,TANGELLA UDAY SRINIVAS,TANGELLA UDAY SRINIVAS,KAKINADA,KAKINADA,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,199417886.76,16907864.0,182510022.76,8.48,16,6,27.27,10,10,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_013,BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,KURNOOL,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,159998515.11,44033277.0,115965238.11,27.52,65,143,68.75,145,145,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_014,Balashowry Vallabbhaneni,BALASHOWRY VALLABBHANENI,MACHILIPATNAM,MACHILIPATNAM,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,14363941.0,132636059.0,9.77,52,9,14.75,26,24,2,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_015,DR BYREDDY SHABARI,DR BYREDDY SHABARI,NANDYAL,NANDYAL,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,150675889.11,50709419.0,99966470.11,33.65,129,70,35.18,116,115,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_016,Bhupathiraju Srinivasa varma,BHUPATHIRAJU SRINIVASA VARMA,NARASAPURAM,NARASAPURAM,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,0.0,147000000.0,0.0,1,0,0.0,0,0,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_017,Lavu Sri Krishna Devarayalu,LAVU SRI KRISHNA DEVARAYALU,NARASARAOPET,NARASARAOPET,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,174009663.11,2402685.0,171606978.11,1.38,130,1,0.76,4,4,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_018,PRABHAKAR REDDY VEMIREDDY,PRABHAKAR REDDY VEMIREDDY,NELLORE,NELLORE,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,73610054.0,73389946.0,50.07,34,123,78.34,136,135,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_019,Magunta Sreenivasulu Reddy,MAGUNTA SREENIVASULU REDDY,ONGOLE,ONGOLE,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,9854157.0,137145843.0,6.7,18,1,5.26,9,8,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_020,Daggubati Purandeshwari,DAGGUBATI PURANDESHWARI,RAJAHMUNDRY,RAJAHMUNDRY,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,14394558.0,132605442.0,9.79,26,3,10.34,13,12,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_021,Midhun Reddy,MIDHUN REDDY,RAJAMPET,RAJAMPET,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,178951477.11,55016006.0,123935471.11,30.74,317,177,35.83,228,206,22,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_022,Kinjarapu Ram Mohan Naidu,KINJARAPU RAM MOHAN NAIDU,SRIKAKULAM,SRIKAKULAM,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,171200630.11,53576961.0,117623669.11,31.29,155,60,27.91,102,100,2,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_023,Maddila Gurumoorthy,MADDILA GURUMOORTHY,TIRUPATI,TIRUPATI,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,180399007.0,64414143.0,115984864.0,35.71,181,110,37.8,167,149,18,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_024,Sivanath Kesineni,SIVANATH KESINENI,VIJAYAWADA,VIJAYAWADA,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,6329561.0,140670439.0,4.31,28,1,3.45,3,3,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_025,Sribharat MathuKumli,SRIBHARAT MATHUKUMLI,VISAKHAPATNAM,VISAKHAPATNAM,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,164841922.0,10903207.0,153938715.0,6.61,40,0,0.0,15,15,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_026,Appalanaidu Kalisetti,APPALANAIDU KALISETTI,VIZIANAGARAM,VIZIANAGARAM,Andhra Pradesh,ANDHRA PRADESH,Lok Sabha,147000000.0,22325622.0,124674378.0,15.19,67,36,34.95,56,54,2,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_027,Shri Tapir Gao,SHRI TAPIR GAO,ARUNACHAL EAST,ARUNACHAL EAST,Arunachal Pradesh,ARUNACHAL PRADESH,Lok Sabha,147000000.0,98534470.0,48465530.0,67.03,58,106,64.63,199,195,4,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_028,Kiren Rijiju,KIREN RIJIJU,ARUNACHAL WEST,ARUNACHAL WEST,Arunachal Pradesh,ARUNACHAL PRADESH,Lok Sabha,147000000.0,87533016.0,59466984.0,59.55,17,114,87.02,162,155,7,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_029,PHANI BHUSAN CHOUDHURY,PHANI BHUSAN CHOUDHURY,BARPETA,BARPETA,Assam,ASSAM,Lok Sabha,147000000.0,41759331.0,105240669.0,28.41,84,3,3.45,102,96,6,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_030,Dilip Saikia,DILIP SAIKIA,Darrang-Udalguri,DARRANG-UDALGURI,Assam,ASSAM,Lok Sabha,147000000.0,25726095.0,121273905.0,17.5,225,5,2.17,148,146,2,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_031,RAKIBUL HUSSAIN,RAKIBUL HUSSAIN,DHUBRI,DHUBRI,Assam,ASSAM,Lok Sabha,147000000.0,46453373.0,100546627.0,31.6,152,25,14.12,138,132,6,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_032,Shri Sarbananda Sonowal (18LS),SHRI SARBANANDA SONOWAL (18LS),DIBRUGARH,DIBRUGARH,Assam,ASSAM,Lok Sabha,147000000.0,23630250.0,123369750.0,16.08,84,3,3.45,62,54,8,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_033,AMARSING TISSO,AMARSING TISSO,Diphu,DIPHU,Assam,ASSAM,Lok Sabha,147000000.0,70190709.0,76809291.0,47.75,53,41,43.62,192,172,20,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_034,BIJULI KALITA MEDHI,BIJULI KALITA MEDHI,GUWAHATI,GUWAHATI,Assam,ASSAM,Lok Sabha,147000000.0,71052648.0,75947352.0,48.34,145,5,3.33,165,165,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_035,GAURAV GOGOI,GAURAV GOGOI,JORHAT,JORHAT,Assam,ASSAM,Lok Sabha,147000000.0,39747670.0,107252330.0,27.04,429,33,7.14,447,442,5,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_036,Kripanath Mallah,KRIPANATH MALLAH,KARIMGANJ,KARIMGANJ,Assam,ASSAM,Lok Sabha,147000000.0,66488500.0,80511500.0,45.23,74,0,0.0,116,116,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_037,KAMAKHYA PRASAD TASA,KAMAKHYA PRASAD TASA,Kaziranga,KAZIRANGA,Assam,ASSAM,Lok Sabha,147000000.0,11985122.0,135014878.0,8.15,88,0,0.0,34,31,3,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_038,JOYANTA BASUMATARY,JOYANTA BASUMATARY,KOKRAJHAR,KOKRAJHAR,Assam,ASSAM,Lok Sabha,147000000.0,62530971.0,84469029.0,42.54,102,20,16.39,79,79,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_039,Pradan Baruah,PRADAN BARUAH,LAKHIMPUR,LAKHIMPUR,Assam,ASSAM,Lok Sabha,147000000.0,56052727.0,90947273.0,38.13,115,33,22.3,174,173,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_040,Pradyut Bordoloi,PRADYUT BORDOLOI,NOWGONG,NOWGONG,Assam,ASSAM,Lok Sabha,98000000.0,67125657.0,30874343.0,68.5,202,13,6.05,471,459,12,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_041,PARIMAL SUKLABAIDYA,PARIMAL SUKLABAIDYA,SILCHAR,SILCHAR,Assam,ASSAM,Lok Sabha,148300157.11,5386762.0,142913395.11,3.63,153,0,0.0,10,10,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_042,RANJIT DUTTA,RANJIT DUTTA,Sonitpur,SONITPUR,Assam,ASSAM,Lok Sabha,147000000.0,65900399.0,81099601.0,44.83,127,22,14.77,322,321,1,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_043,Pradeep Kumar Singh,PRADEEP KUMAR SINGH,ARARIA,ARARIA,Bihar,BIHAR,Lok Sabha,147000000.0,118278146.0,28721854.0,80.46,47,39,45.35,68,68,0,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_044,SUDAMA PRASAD,SUDAMA PRASAD,ARRAH,ARRAH,Bihar,BIHAR,Lok Sabha,147000000.0,57716958.0,89283042.0,39.26,153,66,30.14,86,83,3,,MP_SUMMARY,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
