internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_00001,R K Construction,R K CONSTRUCTION,156739090.0,182,6,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00002,RANJIT SALES CORPORATION,RANJIT SALES CORPORATION,136010400.0,249,5,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00003,BIOLUNAR ENERGY SOLUTION,BIOLUNAR ENERGY SOLUTION,130529300.0,258,5,1,BIHAR,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00004,SHRI GURU KRIPA NARSINGH ASSOCIATES,SHRI GURU KRIPA NARSINGH ASSOCIATES,125604534.0,82,3,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00005,JAI CONSTRUCTION,JAI CONSTRUCTION,122963972.0,150,2,2,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00006,KRIDL BHUSIRI ACCOUNT WORKS,KRIDL BHUSIRI ACCOUNT WORKS,119863039.0,245,16,1,KARNATAKA,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00007,Alam Brothers,ALAM BROTHERS,113404000.0,121,1,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00008,SHIV DURGA INDUSTRIES,SHIV DURGA INDUSTRIES,102772259.0,73,3,1,BIHAR,Lighting of public spaces,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00009,SIGMA ENTERPRISES,SIGMA ENTERPRISES,94050000.0,38,1,1,BIHAR,Setting up of laboratories,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00010,MS RAMESH CHANDRA PATEL,MS RAMESH CHANDRA PATEL,90325342.0,87,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_00011,Nightingale Networks LLP,NIGHTINGALE NETWORKS LLP,88448056.0,219,1,1,UTTAR PRADESH,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
