"MP Name","Constituency","State","House","Work Description","Vendor","IDA","Expenditure Amount (₹)","Expenditure Date","Payment Status"
"SUNIL BOSE","CHAMARAJANAGAR","Karnataka","Lok Sabha","Construction of footpaths and pedestrian ways","KRIDL BHUSIRI ACCOUNT WORKS","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)",250000,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"SUNIL BOSE","CHAMARAJANAGAR","Karnataka","Lok Sabha","Construction of boundary walls of existing public and community buildings","KRIDL BHUSIRI ACCOUNT WORKS","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)",250000,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"SUNIL BOSE","CHAMARAJANAGAR","Karnataka","Lok Sabha","Construction of buildings for community cultural activities","KRIDL BHUSIRI ACCOUNT WORKS","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)",250000,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"SUNIL BOSE","CHAMARAJANAGAR","Karnataka","Lok Sabha","Construction of community centers and community halls","KRIDL BHUSIRI ACCOUNT WORKS","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)",125000,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"ATUL GARG","GHAZIABAD","Uttar Pradesh","Lok Sabha","Construction of roads, link roads, pathways or any other road with or without drainage system","DARSH BUILDCON","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)",799146,"2026-08-21T00:00:00.000Z","Payment In-Progress"
"TARIQ ANWAR","KATIHAR","Bihar","Lok Sabha","Lighting of public spaces","R K Construction","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)",965000,"2026-08-24T00:00:00.000Z","Payment In-Progress"
"TARIQ ANWAR","KATIHAR","Bihar","Lok Sabha","Lighting of public spaces","R K Construction","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)",965000,"2026-08-24T00:00:00.000Z","Payment In-Progress"
"ZIA UR REHMAN","SAMBHAL","Uttar Pradesh","Lok Sabha","Lighting of public spaces","R G SUPLLIER","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)",36159,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"ZIA UR REHMAN","SAMBHAL","Uttar Pradesh","Lok Sabha","Lighting of public spaces","R G SUPLLIER","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)",36159,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"BALABHADRA MAJHI","NABARANGPUR","Odisha","Lok Sabha","Construction of community centers and community halls","MEMBER SECY OB AND OC WWB BBSR","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)",500,"2026-08-24T00:00:00.000Z","Payment In-Progress"
"BALABHADRA MAJHI","NABARANGPUR","Odisha","Lok Sabha","Construction of boundary walls of existing public and community buildings","MEMBER SECY OB AND OC WWB BBSR","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)",3000,"2026-08-24T00:00:00.000Z","Payment In-Progress"
"ANANTA NAYAK","KEONJHAR","Odisha","Lok Sabha","Construction of roads, link roads, pathways or any other road with or without drainage system","MEMBER SECY OB AND OC WWB BBSR","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)",2500,"2026-08-21T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-23T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-22T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",18044,"2026-07-23T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",18044,"2026-07-23T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",18044,"2026-07-23T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",18044,"2026-07-23T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-21T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-21T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-21T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-21T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-21T00:00:00.000Z","Payment In-Progress"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha","Street lights","Ajay Kumar Singh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19992,"2026-07-21T00:00:00.000Z","Payment In-Progress"
