"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"S SUPONGMEREN JAMIR","NAGALAND","Nagaland","Lok Sabha",147000000,138150000,93.98,38,18,67.86,8850000,81,81,0,"N/A"
"VIJAYLAKSHMI DEVI","SIWAN","Bihar","Lok Sabha",147000000,134748616,91.67,95,87,52.2,12251384,142,120,22,"N/A"
"Smt Veena Devi ","VAISHALI","Bihar","Lok Sabha",147000000,131108889,89.19,30,29,50.85,15891111,49,49,0,"N/A"
"Shri Arun Kumar Sagar ","SHAHJAHANPUR","Uttar Pradesh","Lok Sabha",147000000,130143000,88.53,4,3,57.14,16857000,44,44,0,"N/A"
"Ashok Kumar Rawat","MISRIKH","Uttar Pradesh","Lok Sabha",147000000,121139986,82.41,2,3,40,25860014,32,24,8,"N/A"
"SUKHDEO BHAGAT","LOHARDAGA","Jharkhand","Lok Sabha",171821957.11,138586757,80.66,80,204,28.17,33235200.110000014,358,353,5,"N/A"
"Pradeep Kumar Singh","ARARIA","Bihar","Lok Sabha",147000000,118278146,80.46,39,47,45.35,28721854,68,68,0,"N/A"
"Giridhari Yadav","BANKA","Bihar","Lok Sabha",147000000,114805889,78.1,85,35,70.83,32194111,96,96,0,"N/A"
"Mukesh Rajput","FARRUKHABAD","Uttar Pradesh","Lok Sabha",147000000,108417412,73.75,246,49,83.39,38582588,367,367,0,"N/A"
"Ramprit Mandal","JHANJHARPUR","Bihar","Lok Sabha",147000000,107510581,73.14,89,91,49.44,39489419,104,104,0,"N/A"
"RAM PRASAD CHAUDHARY","BASTI","Uttar Pradesh","Lok Sabha",204176957.11,148429426,72.7,37,146,20.22,55747531.110000014,239,238,1,1
"ANDREW J. SYNGKON","SHILLONG","Meghalaya","Lok Sabha",98000000,70355000,71.79,96,146,39.67,27645000,320,318,2,"N/A"
"DR. RAJESH MISHRA","SIDHI","Madhya Pradesh","Lok Sabha",262724510.35,184783789,70.33,172,169,50.44,77940721.35,654,633,21,"N/A"
"MALAIYARASAN D","KALLAKURICHI","Tamil Nadu","Lok Sabha",176686299,121901141,68.99,198,191,50.9,54785158,204,204,0,"N/A"
"Bhola Singh","BULANDSHAHR","Uttar Pradesh","Lok Sabha",147000000,101017522,68.72,142,148,48.97,45982478,250,200,50,"N/A"
"Pradyut Bordoloi","NOWGONG","Assam","Lok Sabha",98000000,67125657,68.5,13,202,6.05,30874343,471,459,12,"N/A"
"ARUN BHARTI","JAMUI","Bihar","Lok Sabha",194924621.11,132119553,67.78,218,110,66.46,62805068.110000014,305,264,41,"N/A"
"Shri Tapir Gao","ARUNACHAL EAST","Arunachal Pradesh","Lok Sabha",147000000,98534470,67.03,106,58,64.63,48465530,199,195,4,"N/A"
"SUDHAKAR SINGH","BUXAR","Bihar","Lok Sabha",185211956.54,123581875,66.72,98,106,48.04,61630081.53999999,176,175,1,"N/A"
"ANOOP PRADHAN BALMIKI","HATHRAS","Uttar Pradesh","Lok Sabha",147000000,97915147,66.61,69,37,65.09,49084853,141,141,0,"N/A"
"NEERAJ MAURYA","AONLA","Uttar Pradesh","Lok Sabha",147000000,97488644,66.32,17,19,47.22,49511356,101,101,0,"N/A"
"THARANIVENTHAN M S","ARANI","Tamil Nadu","Lok Sabha",168337124.35,111315790,66.13,180,137,56.78,57021334.349999994,214,214,0,"N/A"
"SALENG A SANGMA","TURA","Meghalaya","Lok Sabha",147000000,96785000,65.84,119,218,35.31,50215000,424,420,4,"N/A"
"RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","Bihar","Lok Sabha",147000000,96375137,65.56,77,43,64.17,50624863,90,90,0,"N/A"
