"Work ID","Work Description","Category","MP Name","Constituency","State","House","Recommended Amount (₹)","Recommendation Date","Has Images","IDA"
175556,"Repair and renovation of road from CPWD complex, Ranchi Tikrey Dairyfarm to Fisheries Quarter, Port Blair","Repair and Renovation","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",4947034,"2025-02-14T00:00:00.000Z",false,"SOUTH ANDAMANS(Implementing District Authority(SA))"
175559,"Extension of Multipurpse Hall at Nayagaon near Juvenile Home, Port Blair","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",976436,"2025-02-14T00:00:00.000Z",false,"SOUTH ANDAMANS(Implementing District Authority(SA))"
175561,"Construction of CC Motorable road between Govt. Primary School and Shri SK Singh house at Garacharma, Ward No.18, Port Blair","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",1498887,"2025-02-14T00:00:00.000Z",false,"SOUTH ANDAMANS(Implementing District Authority(SA))"
183102,"Con. Bore well with water tank (60000 Ltr capacity), boundary wall with gate, parking space, toilets with bathroom, drainage system, rain harvesting system at Sri Guruji Community Centre, Dollygunj","Trust and Society","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",4992971,"2025-03-18T00:00:00.000Z",false,"SOUTH ANDAMANS(Implementing District Authority(SA))"
187484,"Construction of Open Community Hall near Airport junction at Shibpur Ward No.3, Shipbur GP, Diglipur Tehsil","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",2899877,"2025-03-28T00:00:00.000Z",false,"NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA))"
188526,"Construction of Culvert near Bejoli Maiti house at Ward No.1, Madhupur Gram Panchayat, Diglipur","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",2096539,"2025-04-01T00:00:00.000Z",false,"NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA))"
188528,"Construction of CC drain from CPWD quarters to Fisheries Quarters via Sree Shaktivel Murugan Temple for a length of 350 mtrs at Ranci Tikrey, Dairy Farm, Ward No.9, SVP.","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",1320600,"2025-04-01T00:00:00.000Z",false,"SOUTH ANDAMANS(Implementing District Authority(SA))"
212474,"Con. of  black top road between main road near Govind Dutta House to Satsang Kendra for a length of 120 mtrs. Sub-work Con. of  Cement road for 120 mtrs.","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",2756289,"2025-06-25T00:00:00.000Z",false,"SOUTH ANDAMANS(Implementing District Authority(SA))"
224538,"Purchase of water tanker (12 or 09 KL capacity for distribution of water to the Tribal people in Car Nicobar","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",2980219,"2025-08-03T00:00:00.000Z",false,"NICOBARS(DEPUTY COMMISSIONER NICOBAR_IDA)"
224539,"Purchase and supply of 01 No. Hearse Van for transportation of deceased bodies in Car Nicobar","Normal/Others","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",2000000,"2025-08-03T00:00:00.000Z",false,"NICOBARS(DEPUTY COMMISSIONER NICOBAR_IDA)"
